REST_API	TESTS_CALLING_THE_REST_API
REST	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps', 'Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
array504.prod.do.dsp.mp.microsoft.com POST Path = /join/ status_code = 200 reason_phrase = OK	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
az700632.vo.msecnd.net GET Path = /pub/FlightsData/DisabledFlights.json status_code = 304 reason_phrase = Not Modified	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
az700632.vo.msecnd.net GET Path = /pub/FlightsData/ShippedFlights.json status_code = 304 reason_phrase = Not Modified	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
orleanstest12.table.core.windows.net DELETE Path = /OrleansReminders(PartitionKey='04c67a0762fd4580a07d797b24adcea4_555CE431',RowKey='remindertestgrain2_5e792cc3ef7443dda9b0abad6d25f253-DEFAULT_REMINDER') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
orleanstest12.table.core.windows.net DELETE Path = /OrleansReminders(PartitionKey='6e94c9fef5fa4ae6b8045a4368659ced_241A822C',RowKey='remindertestgrain2_8ed5f6e1d3114a3caf5d9e5758c1c4bb-DEFAULT_REMINDER') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
orleanstest12.table.core.windows.net DELETE Path = /OrleansReminders(PartitionKey='78c28f64e370467d89b14ee0a2c7a205_979E26E9',RowKey='remindertestgrain2_d628d2820feb46e4af906793c370ceca-DEFAULT_REMINDER') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
orleanstest12.table.core.windows.net DELETE Path = /OrleansReminders(PartitionKey='e477e4a12ba245a086877aa7be959f10_3081A173',RowKey='remindertestgrain2_6afb351cda104e4db943a3e612244c29-DEFAULT_REMINDER') status_code = 404 reason_phrase = Not Found $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
orleanstest12.table.core.windows.net DELETE Path = /OrleansReminders(PartitionKey='e477e4a12ba245a086877aa7be959f10_3081A173',RowKey='remindertestgrain2_6afb351cda104e4db943a3e612244c29-DEFAULT_REMINDER') status_code = 408 reason_phrase = No Content injected $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt '04c67a0762fd4580a07d797b24adcea4_') and (PartitionKey le '04c67a0762fd4580a07d797b24adcea4_02051286')) or ((PartitionKey gt '04c67a0762fd4580a07d797b24adcea4_FB8D4893') and (PartitionKey lt '04c67a0762fd4580a07d797b24adcea4`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_051D5360')) or ((PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_FE16D0A4') and (PartitionKey lt '6e94c9fef5fa4ae6b8045a4368659ced`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt '78c28f64e370467d89b14ee0a2c7a205_') and (PartitionKey le '78c28f64e370467d89b14ee0a2c7a205_00C323D0')) or ((PartitionKey gt '78c28f64e370467d89b14ee0a2c7a205_FC856804') and (PartitionKey lt '78c28f64e370467d89b14ee0a2c7a205`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt '7bb97d31556347ddadcaaa0f62c809c6_') and (PartitionKey le '7bb97d31556347ddadcaaa0f62c809c6_0016ED07')) or ((PartitionKey gt '7bb97d31556347ddadcaaa0f62c809c6_FABA6605') and (PartitionKey lt '7bb97d31556347ddadcaaa0f62c809c6`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt '834921b01be64e2ca80850858e7cf9ba_') and (PartitionKey le '834921b01be64e2ca80850858e7cf9ba_00590DFC')) or ((PartitionKey gt '834921b01be64e2ca80850858e7cf9ba_E6E6FB2D') and (PartitionKey lt '834921b01be64e2ca80850858e7cf9ba`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt 'a3245c6f84fa4e86a00df0c1488652bb_') and (PartitionKey le 'a3245c6f84fa4e86a00df0c1488652bb_0ED47B20')) or ((PartitionKey gt 'a3245c6f84fa4e86a00df0c1488652bb_EECE28D8') and (PartitionKey lt 'a3245c6f84fa4e86a00df0c1488652bb`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt 'dc13bc8c0d1742feaf7aa2e4fd32cbc1_') and (PartitionKey le 'dc13bc8c0d1742feaf7aa2e4fd32cbc1_00D8C365')) or ((PartitionKey gt 'dc13bc8c0d1742feaf7aa2e4fd32cbc1_F4563C63') and (PartitionKey lt 'dc13bc8c0d1742feaf7aa2e4fd32cbc1`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt 'e477e4a12ba245a086877aa7be959f10_') and (PartitionKey le 'e477e4a12ba245a086877aa7be959f10_01E75F5B')) or ((PartitionKey gt 'e477e4a12ba245a086877aa7be959f10_FC89B6E4') and (PartitionKey lt 'e477e4a12ba245a086877aa7be959f10`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq '04c67a0762fd4580a07d797b24adcea4_555CE431') and ((RowKey gt 'remindertestgrain2_5e792cc3ef7443dda9b0abad6d25f253-') and (RowKey le 'remindertestgrain2_5e792cc3ef7443dda9b0abad6d25f253.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
