CALLSITE	TESTS_CALLING_THE_CALLSITE
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:171:Azure.Data.Tables;Azure.Data.Tables.TableClient.AddEntityAsync(!!0,System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.CreateTableEntryAsync[](?)']	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_InsertTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTwoTableEntriesConditionallyAsync']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:620:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.InsertTwoTableEntriesConditionallyAsync[](?)']	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_InsertTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTwoTableEntriesConditionallyAsync']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:84:Azure.Data.Tables;Azure.Data.Tables.TableClient.CreateIfNotExistsAsync(System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.InitTableAsync[](?)']	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_InsertTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_MergeTableAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_ReadSingleTableEntryAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTableEntryAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpsertTableEntryAsync']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:201:Azure.Data.Tables;Azure.Data.Tables.TableClient.UpsertEntityAsync(!!0,Azure.Data.Tables.TableUpdateMode,System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.UpsertTableEntryAsync[](?)']	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_MergeTableAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTableEntryAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpsertTableEntryAsync']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:279:Azure.Data.Tables;Azure.Data.Tables.TableClient.UpdateEntityAsync(!!0,Azure.ETag,Azure.Data.Tables.TableUpdateMode,System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.MergeTableEntryAsync[](?)']	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_MergeTableAsync']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:322:Azure.Data.Tables;Azure.Data.Tables.TableClient.UpdateEntityAsync(!!0,Azure.ETag,Azure.Data.Tables.TableUpdateMode,System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.UpdateTableEntryAsync[](?)']	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTableEntryAsync']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:666:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.UpdateTwoTableEntriesConditionallyAsync[](?)']	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTwoTableEntriesConditionallyAsync']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:84:Azure.Data.Tables;Azure.Data.Tables.TableClient.CreateIfNotExistsAsync(System.Threading.CancellationToken):Orleans.GrainDirectory.AzureStorage.AzureTableDataManager`1.InitTableAsync[](?)']	['Tester.AzureUtils.AzureTableGrainDirectoryTests.ConversionTest', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotDeleteDifferentActivationIdEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotOverrideEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.LookupNotFound', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.RegisterLookupUnregisterLookup', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.UnregisterMany']
['C:\\Users\\anna\\orleans\\src\\Azure\\Orleans.GrainDirectory.AzureStorage\\AzureTableGrainDirectory.cs:73:Azure.Data.Tables;Azure.Data.Tables.TableClient.GetEntityAsync(string,string,System.Collections.Generic.IEnumerable`1[string],System.Threading.CancellationToken):Orleans.GrainDirectory.AzureStorage.AzureTableGrainDirectory.Lookup(?)']	['Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotDeleteDifferentActivationIdEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotOverrideEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.LookupNotFound', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.RegisterLookupUnregisterLookup', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.UnregisterMany']
['C:\\Users\\anna\\orleans\\src\\Azure\\Orleans.GrainDirectory.AzureStorage\\AzureTableGrainDirectory.cs:93:Azure.Data.Tables;Azure.Data.Tables.TableClient.GetEntityAsync(string,string,System.Collections.Generic.IEnumerable`1[string],System.Threading.CancellationToken):Orleans.GrainDirectory.AzureStorage.AzureTableGrainDirectory.Unregister(?)']	['Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotDeleteDifferentActivationIdEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.RegisterLookupUnregisterLookup']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:232:Azure.Data.Tables;Azure.Data.Tables.TableClient.AddEntityAsync(!!0,System.Threading.CancellationToken):Orleans.GrainDirectory.AzureStorage.AzureTableDataManager`1.InsertTableEntryAsync[](?)']	['Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotDeleteDifferentActivationIdEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotOverrideEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.RegisterLookupUnregisterLookup', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.UnregisterMany']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:367:Azure.Data.Tables;Azure.Data.Tables.TableClient.DeleteEntityAsync(string,string,Azure.ETag,System.Threading.CancellationToken):Orleans.GrainDirectory.AzureStorage.AzureTableDataManager`1.DeleteTableEntryAsync[](?)']	['Tester.AzureUtils.AzureTableGrainDirectoryTests.RegisterLookupUnregisterLookup']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.GrainDirectory.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)']	['Tester.AzureUtils.AzureTableGrainDirectoryTests.UnregisterMany']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:529:Azure.Data.Tables;Azure.Data.Tables.TableRestClient.QueryEntitiesAsync(string,System.Nullable`1[int],string,string,Azure.Data.Tables.Models.QueryOptions,System.Threading.CancellationToken):Orleans.GrainDirectory.AzureStorage.AzureTableDataManager`1.<>c__DisplayClass31_1.<ReadTableEntriesAndEtagsAsync>b__1(Int32 counter)']	['Tester.AzureUtils.AzureTableGrainDirectoryTests.UnregisterMany']
['C:\\Users\\anna\\orleans\\src\\Azure\\Orleans.Persistence.AzureStorage\\Providers\\Storage\\AzureBlobStorage.cs:205:Azure.Storage.Blobs;Azure.Storage.Blobs.Specialized.BlobBaseClient.DeleteIfExistsAsync(Azure.Storage.Blobs.Models.DeleteSnapshotsOption,Azure.Storage.Blobs.Models.BlobRequestConditions,System.Threading.CancellationToken):Orleans.Storage.AzureBlobGrainStorage.<>c__DisplayClass10_0`1.<ClearStateAsync>b__0()']	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_ShortNamedGrain_EchoValue']
['C:\\Users\\anna\\orleans\\src\\Azure\\Orleans.Persistence.AzureStorage\\Providers\\Storage\\AzureBlobStorage.cs:253:Azure.Storage.Blobs;Azure.Storage.Blobs.BlobClient.UploadAsync(System.BinaryData,Azure.Storage.Blobs.Models.BlobUploadOptions,System.Threading.CancellationToken):Orleans.Storage.AzureBlobGrainStorage.<>c__DisplayClass11_1`1.<WriteStateAndCreateContainerIfNotExists>b__0()']	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_ShortNamedGrain_EchoValue']
['C:\\Users\\anna\\orleans\\src\\Azure\\Orleans.Persistence.AzureStorage\\Providers\\Storage\\AzureBlobStorage.cs:310:Azure.Storage.Blobs;Azure.Storage.Blobs.BlobContainerClient.CreateIfNotExistsAsync(Azure.Storage.Blobs.Models.PublicAccessType,System.Collections.Generic.IDictionary`2[string,string],Azure.Storage.Blobs.Models.BlobContainerEncryptionScopeOptions,System.Threading.CancellationToken):Orleans.Storage.AzureBlobGrainStorage.Init(?)']	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_ShortNamedGrain_EchoValue']
['C:\\Users\\anna\\orleans\\src\\Azure\\Orleans.Persistence.AzureStorage\\Providers\\Storage\\AzureBlobStorage.cs:68:Azure.Storage.Blobs;Azure.Storage.Blobs.Specialized.BlobBaseClient.DownloadContentAsync():Orleans.Storage.AzureBlobGrainStorage.ReadStateAsync[](?)']	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_ShortNamedGrain_EchoValue']
['C:\\Users\\anna\\orleans\\src\\Azure\\Orleans.Persistence.AzureStorage\\Providers\\Storage\\AzureTableStorage.cs:409:Azure.Data.Tables;Azure.Data.Tables.TableClient.GetEntityAsync(string,string,System.Collections.Generic.IEnumerable`1[string],System.Threading.CancellationToken):Orleans.Storage.AzureTableGrainStorage.GrainStateTableDataManager.Read(?)']	['Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_ShortNamedGrain_EchoValue']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:171:Azure.Data.Tables;Azure.Data.Tables.TableClient.AddEntityAsync(!!0,System.Threading.CancellationToken):Orleans.Persistence.AzureStorage.AzureTableDataManager`1.CreateTableEntryAsync[](?)']	['Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_ShortNamedGrain_EchoValue']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:322:Azure.Data.Tables;Azure.Data.Tables.TableClient.UpdateEntityAsync(!!0,Azure.ETag,Azure.Data.Tables.TableUpdateMode,System.Threading.CancellationToken):Orleans.Persistence.AzureStorage.AzureTableDataManager`1.UpdateTableEntryAsync[](?)']	['Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_ShortNamedGrain_EchoValue']
['C:\\Users\\anna\\orleans\\src\\Azure\\Shared\\Storage\\AzureTableDataManager.cs:84:Azure.Data.Tables;Azure.Data.Tables.TableClient.CreateIfNotExistsAsync(System.Threading.CancellationToken):Orleans.Persistence.AzureStorage.AzureTableDataManager`1.InitTableAsync[](?)']	['Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_ShortNamedGrain_EchoValue']
