REST	NUM
orleanstest12.queue.core.windows.net PUT Path = /test-1-2fa8f58a-3bda-44df-ab57-3418ca27aa51-aqdatamanagertests status_code = 201 reason_phrase = Created	1
orleanstest12.queue.core.windows.net GET Path = /test-1-2fa8f58a-3bda-44df-ab57-3418ca27aa51-aqdatamanagertests status_code = 200 reason_phrase = OK comp=['metadata']	1
orleanstest12.queue.core.windows.net POST Path = /test-1-2fa8f58a-3bda-44df-ab57-3418ca27aa51-aqdatamanagertests/messages status_code = 201 reason_phrase = Created	1
orleanstest12.queue.core.windows.net GET Path = /test-1-2fa8f58a-3bda-44df-ab57-3418ca27aa51-aqdatamanagertests status_code = 200 reason_phrase = OK comp=['metadata']	1
orleanstest12.queue.core.windows.net GET Path = /test-1-2fa8f58a-3bda-44df-ab57-3418ca27aa51-aqdatamanagertests/messages status_code = 200 reason_phrase = OK numofmessages=['1'] peekonly=['true']	1
orleanstest12.queue.core.windows.net GET Path = /test-1-2fa8f58a-3bda-44df-ab57-3418ca27aa51-aqdatamanagertests/messages status_code = 200 reason_phrase = OK numofmessages=['1'] peekonly=['true']	1
orleanstest12.queue.core.windows.net GET Path = /test-1-2fa8f58a-3bda-44df-ab57-3418ca27aa51-aqdatamanagertests/messages status_code = 408 reason_phrase = OK injected numofmessages=['1']	1
orleanstest12.queue.core.windows.net GET Path = /test-1-2fa8f58a-3bda-44df-ab57-3418ca27aa51-aqdatamanagertests/messages status_code = 200 reason_phrase = OK numofmessages=['1']	1
orleanstest12.queue.core.windows.net PUT Path = /test-1-2fa8f58a-3bda-44df-ab57-3418ca27aa51-aqdatamanagertests status_code = 204 reason_phrase = No Content	1
orleanstest12.queue.core.windows.net DELETE Path = /test-1-2fa8f58a-3bda-44df-ab57-3418ca27aa51-aqdatamanagertests status_code = 204 reason_phrase = No Content	1
