REST	NUM
orleanstest12.table.core.windows.net POST Path = /Tables status_code = 409 reason_phrase = Conflict $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='0') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='1') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='2') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='3') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='4') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='5') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='6') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='7') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='8') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
spclient.wg.spotify.com GET Path = /v1/live-tile-xml status_code = 200 reason_phrase = OK language=['en-US'] region=['US']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='9') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='10') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='11') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='12') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='13') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='AzureTableDataManagerStressTests-c642c1ab-c110-4d32-b186-dd718e1dfbf7',RowKey='14') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
