REST	NUM
vortex.data.microsoft.com POST Path = /collect/v1 status_code = 200 reason_phrase = OK	1
orleanstest12.table.core.windows.net POST Path = /Tables status_code = 409 reason_phrase = Conflict $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PUT Path = /UnitTestAzureData(PartitionKey='PK-AzureTableDataManagerTests-2a97a678-e0a2-44da-a85d-63b56ae115ef',RowKey='RK-c34f4ffd-eec3-4210-b977-782859c4fa72') status_code = 404 reason_phrase = Not Found $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='PK-AzureTableDataManagerTests-2a97a678-e0a2-44da-a85d-63b56ae115ef',RowKey='RK-c34f4ffd-eec3-4210-b977-782859c4fa72') status_code = 408 reason_phrase = No Content injected $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /UnitTestAzureData(PartitionKey='PK-AzureTableDataManagerTests-2a97a678-e0a2-44da-a85d-63b56ae115ef',RowKey='RK-c34f4ffd-eec3-4210-b977-782859c4fa72') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /UnitTestAzureData(PartitionKey='PK-AzureTableDataManagerTests-2a97a678-e0a2-44da-a85d-63b56ae115ef',RowKey='RK-c34f4ffd-eec3-4210-b977-782859c4fa72') status_code = 200 reason_phrase = OK $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PUT Path = /UnitTestAzureData(PartitionKey='PK-AzureTableDataManagerTests-2a97a678-e0a2-44da-a85d-63b56ae115ef',RowKey='RK-c34f4ffd-eec3-4210-b977-782859c4fa72') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /UnitTestAzureData(PartitionKey='PK-AzureTableDataManagerTests-2a97a678-e0a2-44da-a85d-63b56ae115ef',RowKey='RK-c34f4ffd-eec3-4210-b977-782859c4fa72') status_code = 200 reason_phrase = OK $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PUT Path = /UnitTestAzureData(PartitionKey='PK-AzureTableDataManagerTests-2a97a678-e0a2-44da-a85d-63b56ae115ef',RowKey='RK-c34f4ffd-eec3-4210-b977-782859c4fa72') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /UnitTestAzureData(PartitionKey='PK-AzureTableDataManagerTests-2a97a678-e0a2-44da-a85d-63b56ae115ef',RowKey='RK-c34f4ffd-eec3-4210-b977-782859c4fa72') status_code = 200 reason_phrase = OK $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PUT Path = /UnitTestAzureData(PartitionKey='PK-AzureTableDataManagerTests-2a97a678-e0a2-44da-a85d-63b56ae115ef',RowKey='RK-c34f4ffd-eec3-4210-b977-782859c4fa72') status_code = 412 reason_phrase = Precondition Failed $format=['application/json;odata=minimalmetadata']	1
