REST	NUM
orleanstest12.table.core.windows.net POST Path = /Tables status_code = 408 reason_phrase = Conflict injected $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net POST Path = /Tables status_code = 409 reason_phrase = Conflict $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansSiloInstances(PartitionKey='test-d1638d4e-7320-4f84-853c-95a0a48e0ea2',RowKey='VersionRow') status_code = 404 reason_phrase = Not Found $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net POST Path = /OrleansSiloInstances status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-d1638d4e-7320-4f84-853c-95a0a48e0ea2',RowKey='127.0.0.1-0-33529962') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-d1638d4e-7320-4f84-853c-95a0a48e0ea2',RowKey='127.0.0.1-0-33529962') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-d1638d4e-7320-4f84-853c-95a0a48e0ea2',RowKey='127.0.0.1-0-1') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-d1638d4e-7320-4f84-853c-95a0a48e0ea2',RowKey='127.0.0.1-0-1') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-d1638d4e-7320-4f84-853c-95a0a48e0ea2',RowKey='127.0.0.1-0-2') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-d1638d4e-7320-4f84-853c-95a0a48e0ea2',RowKey='127.0.0.1-0-2') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-d1638d4e-7320-4f84-853c-95a0a48e0ea2',RowKey='127.0.0.1-0-3') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-d1638d4e-7320-4f84-853c-95a0a48e0ea2',RowKey='127.0.0.1-0-3') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-d1638d4e-7320-4f84-853c-95a0a48e0ea2',RowKey='127.0.0.1-0-4') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-d1638d4e-7320-4f84-853c-95a0a48e0ea2',RowKey='127.0.0.1-0-4') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
vortex.data.microsoft.com POST Path = /collect/v1 status_code = 200 reason_phrase = OK	1
orleanstest12.table.core.windows.net GET Path = /OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=["PartitionKey eq 'test-d1638d4e-7320-4f84-853c-95a0a48e0ea2'"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net POST Path = /$batch status_code = 202 reason_phrase = Accepted	1
orleanstest12.table.core.windows.net GET Path = /OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=["PartitionKey eq 'test-d1638d4e-7320-4f84-853c-95a0a48e0ea2'"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=["PartitionKey eq 'test-d1638d4e-7320-4f84-853c-95a0a48e0ea2'"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net POST Path = /$batch status_code = 202 reason_phrase = Accepted	1
