name	turn	URI	SDK	policy	outcome	time	excp_type	heuristic1	heuristic2	bug?	bug_ID	bug_link
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_UpdateRowInParallel	5	127.0.0.1:10002POST/devstoreaccount1/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:666:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.UpdateTwoTableEntriesConditionallyAsync[](?)	timeout_blind	Failed	11.9533237s	Assertion	False	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_GetGateways	4	127.0.0.1:10002POST/devstoreaccount1/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:620:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.InsertTwoTableEntriesConditionallyAsync[](?)	timeout_blind	Failed	9.828207s	Assertion	False	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_UpdateIAmAlive	5	127.0.0.1:10002POST/devstoreaccount1/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:620:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.InsertTwoTableEntriesConditionallyAsync[](?)	timeout_blind	Failed	9.968909s	Assertion	False	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_GetGateways	2	127.0.0.1:10002POST/devstoreaccount1/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	11.3594751s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_Init	2	127.0.0.1:10002POST/devstoreaccount1/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	9.8282428s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_InsertRow	2	127.0.0.1:10002POST/devstoreaccount1/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	10.0939363s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_ReadAll_EmptyTable	2	127.0.0.1:10002POST/devstoreaccount1/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	9.5939061s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_ReadAll_Insert_ReadAll	2	127.0.0.1:10002POST/devstoreaccount1/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	10.0311667s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_ReadRow_Insert_Read	2	127.0.0.1:10002POST/devstoreaccount1/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	10.5001384s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_UpdateIAmAlive	3	127.0.0.1:10002POST/devstoreaccount1/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	10.0468791s	System.AggregateException	True	True			
