REST_API	TESTS_CALLING_THE_REST_API
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases status_code = 201 reason_phrase = Created restype=['container']	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases status_code = 409 reason_phrase = The specified container already exists. restype=['container']	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-0.json status_code = 200 reason_phrase = OK comp=['lease']	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-0.json status_code = 201 reason_phrase = Created	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-0.json status_code = 201 reason_phrase = Created comp=['lease']	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-0.json status_code = 412 reason_phrase = There is currently a lease on the blob and no lease ID was specified in the request.	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-1.json status_code = 200 reason_phrase = OK comp=['lease']	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-1.json status_code = 201 reason_phrase = Created	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-1.json status_code = 201 reason_phrase = Created comp=['lease']	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-1.json status_code = 412 reason_phrase = There is currently a lease on the blob and no lease ID was specified in the request.	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-2.json status_code = 200 reason_phrase = OK comp=['lease']	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-2.json status_code = 201 reason_phrase = Created	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-2.json status_code = 201 reason_phrase = Created comp=['lease']	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
127.0.0.1:10000 PUT Path = /devstoreaccount1/cluster-testcluster-2023-01-23t04-23-17-707-leases/queuebalancer-memorystreamprovider-2.json status_code = 412 reason_phrase = There is currently a lease on the blob and no lease ID was specified in the request.	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
