SDK_API	TESTS_CALLING_THE_SDK_API
Azure.Data.Tables;Azure.Data.Tables.TableClient.AddEntityAsync(!!0,System.Threading.CancellationToken)	['Tester.AzureUtils.Streaming.AQStreamingTests.AQ_01_OneProducerGrainOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_02_OneProducerGrainOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_03_OneProducerClientOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_04_OneProducerClientOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_05_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_06_ManyDifferent_ManyProducerGrainManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_08_ManyDifferent_ManyProducerClientsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_09_ManySame_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_10_ManySame_ManyConsumerGrainsManyProducerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_11_ManySame_ManyProducerGrainsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_12_ManySame_ManyProducerClientsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_13_SameGrain_ConsumerFirstProducerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_14_SameGrain_ProducerFirstConsumerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_15_ConsumeAtProducersRequest', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_16_MultipleStreams_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_17_MultipleStreams_1J_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_19_ConsumerImplicitlySubscribedToProducerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_20_ConsumerImplicitlySubscribedToProducerGrain']
Azure.Data.Tables;Azure.Data.Tables.TableClient.CreateIfNotExistsAsync(System.Threading.CancellationToken)	['Tester.AzureUtils.Streaming.AQStreamingTests.AQ_01_OneProducerGrainOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_02_OneProducerGrainOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_03_OneProducerClientOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_04_OneProducerClientOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_05_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_06_ManyDifferent_ManyProducerGrainManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_08_ManyDifferent_ManyProducerClientsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_09_ManySame_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_10_ManySame_ManyConsumerGrainsManyProducerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_11_ManySame_ManyProducerGrainsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_12_ManySame_ManyProducerClientsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_13_SameGrain_ConsumerFirstProducerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_14_SameGrain_ProducerFirstConsumerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_15_ConsumeAtProducersRequest', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_16_MultipleStreams_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_17_MultipleStreams_1J_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_19_ConsumerImplicitlySubscribedToProducerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_20_ConsumerImplicitlySubscribedToProducerGrain']
Azure.Data.Tables;Azure.Data.Tables.TableClient.GetEntityAsync(string,string,System.Collections.Generic.IEnumerable`1[string],System.Threading.CancellationToken)	['Tester.AzureUtils.Streaming.AQStreamingTests.AQ_01_OneProducerGrainOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_02_OneProducerGrainOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_03_OneProducerClientOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_04_OneProducerClientOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_05_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_06_ManyDifferent_ManyProducerGrainManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_08_ManyDifferent_ManyProducerClientsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_09_ManySame_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_10_ManySame_ManyConsumerGrainsManyProducerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_11_ManySame_ManyProducerGrainsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_12_ManySame_ManyProducerClientsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_13_SameGrain_ConsumerFirstProducerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_14_SameGrain_ProducerFirstConsumerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_15_ConsumeAtProducersRequest', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_16_MultipleStreams_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_17_MultipleStreams_1J_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_19_ConsumerImplicitlySubscribedToProducerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_20_ConsumerImplicitlySubscribedToProducerGrain']
Azure.Data.Tables;Azure.Data.Tables.TableClient.UpdateEntityAsync(!!0,Azure.ETag,Azure.Data.Tables.TableUpdateMode,System.Threading.CancellationToken)	['Tester.AzureUtils.Streaming.AQStreamingTests.AQ_01_OneProducerGrainOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_02_OneProducerGrainOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_03_OneProducerClientOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_04_OneProducerClientOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_05_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_06_ManyDifferent_ManyProducerGrainManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_08_ManyDifferent_ManyProducerClientsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_09_ManySame_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_10_ManySame_ManyConsumerGrainsManyProducerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_11_ManySame_ManyProducerGrainsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_12_ManySame_ManyProducerClientsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_13_SameGrain_ConsumerFirstProducerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_14_SameGrain_ProducerFirstConsumerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_15_ConsumeAtProducersRequest', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_16_MultipleStreams_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_17_MultipleStreams_1J_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_19_ConsumerImplicitlySubscribedToProducerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_20_ConsumerImplicitlySubscribedToProducerGrain']
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.ClearMessagesAsync(System.Threading.CancellationToken)	['Tester.AzureUtils.Streaming.AQStreamingTests.AQ_01_OneProducerGrainOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_02_OneProducerGrainOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_03_OneProducerClientOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_04_OneProducerClientOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_05_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_06_ManyDifferent_ManyProducerGrainManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_08_ManyDifferent_ManyProducerClientsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_09_ManySame_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_10_ManySame_ManyConsumerGrainsManyProducerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_11_ManySame_ManyProducerGrainsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_12_ManySame_ManyProducerClientsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_13_SameGrain_ConsumerFirstProducerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_14_SameGrain_ProducerFirstConsumerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_15_ConsumeAtProducersRequest', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_16_MultipleStreams_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_17_MultipleStreams_1J_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_19_ConsumerImplicitlySubscribedToProducerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_20_ConsumerImplicitlySubscribedToProducerGrain']
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.CreateIfNotExistsAsync(System.Collections.Generic.IDictionary`2[string,string],System.Threading.CancellationToken)	['Tester.AzureUtils.Streaming.AQStreamingTests.AQ_01_OneProducerGrainOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_02_OneProducerGrainOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_03_OneProducerClientOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_04_OneProducerClientOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_05_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_06_ManyDifferent_ManyProducerGrainManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_08_ManyDifferent_ManyProducerClientsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_09_ManySame_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_10_ManySame_ManyConsumerGrainsManyProducerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_11_ManySame_ManyProducerGrainsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_12_ManySame_ManyProducerClientsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_13_SameGrain_ConsumerFirstProducerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_14_SameGrain_ProducerFirstConsumerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_15_ConsumeAtProducersRequest', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_16_MultipleStreams_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_17_MultipleStreams_1J_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_19_ConsumerImplicitlySubscribedToProducerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_20_ConsumerImplicitlySubscribedToProducerGrain']
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.DeleteMessageAsync(string,string,System.Threading.CancellationToken)	['Tester.AzureUtils.Streaming.AQStreamingTests.AQ_01_OneProducerGrainOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_02_OneProducerGrainOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_03_OneProducerClientOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_04_OneProducerClientOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_05_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_06_ManyDifferent_ManyProducerGrainManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_08_ManyDifferent_ManyProducerClientsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_09_ManySame_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_10_ManySame_ManyConsumerGrainsManyProducerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_11_ManySame_ManyProducerGrainsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_12_ManySame_ManyProducerClientsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_13_SameGrain_ConsumerFirstProducerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_14_SameGrain_ProducerFirstConsumerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_15_ConsumeAtProducersRequest', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_16_MultipleStreams_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_17_MultipleStreams_1J_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_19_ConsumerImplicitlySubscribedToProducerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_20_ConsumerImplicitlySubscribedToProducerGrain']
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.ReceiveMessagesAsync(System.Nullable`1[int],System.Nullable`1[System.TimeSpan],System.Threading.CancellationToken)	['Tester.AzureUtils.Streaming.AQStreamingTests.AQ_01_OneProducerGrainOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_02_OneProducerGrainOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_03_OneProducerClientOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_04_OneProducerClientOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_05_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_06_ManyDifferent_ManyProducerGrainManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_08_ManyDifferent_ManyProducerClientsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_09_ManySame_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_10_ManySame_ManyConsumerGrainsManyProducerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_11_ManySame_ManyProducerGrainsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_12_ManySame_ManyProducerClientsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_13_SameGrain_ConsumerFirstProducerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_14_SameGrain_ProducerFirstConsumerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_15_ConsumeAtProducersRequest', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_16_MultipleStreams_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_17_MultipleStreams_1J_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_19_ConsumerImplicitlySubscribedToProducerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_20_ConsumerImplicitlySubscribedToProducerGrain']
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.SendMessageAsync(string)	['Tester.AzureUtils.Streaming.AQStreamingTests.AQ_01_OneProducerGrainOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_02_OneProducerGrainOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_03_OneProducerClientOneConsumerGrain', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_04_OneProducerClientOneConsumerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_05_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_06_ManyDifferent_ManyProducerGrainManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_08_ManyDifferent_ManyProducerClientsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_09_ManySame_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_10_ManySame_ManyConsumerGrainsManyProducerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_11_ManySame_ManyProducerGrainsManyConsumerClients', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_12_ManySame_ManyProducerClientsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_13_SameGrain_ConsumerFirstProducerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_14_SameGrain_ProducerFirstConsumerLater', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_15_ConsumeAtProducersRequest', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_16_MultipleStreams_ManyDifferent_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_17_MultipleStreams_1J_ManyProducerGrainsManyConsumerGrains', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_19_ConsumerImplicitlySubscribedToProducerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_20_ConsumerImplicitlySubscribedToProducerGrain']
Azure.Data.Tables;Azure.Data.Tables.TableClient.DeleteEntityAsync(string,string,Azure.ETag,System.Threading.CancellationToken)	['Tester.AzureUtils.Streaming.AQStreamingTests.AQ_19_ConsumerImplicitlySubscribedToProducerClient', 'Tester.AzureUtils.Streaming.AQStreamingTests.AQ_20_ConsumerImplicitlySubscribedToProducerGrain']
